dataset,model,hidden,num_params,top1_acc
mnist,kan_py,[32],527178,0.9112
mnist,kan_py,[32],527178,0.9248
mnist,kan_py,[32],527178,0.9299
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[32],527178,0.934
mnist,kan_py,[64],1054346,0.9127
mnist,kan_py,[64],1054346,0.9246
mnist,kan_py,[64],1054346,0.9302
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
mnist,kan_py,[64],1054346,0.9345
